timestamp,interface,rx_bytes_per_sec,tx_bytes_per_sec
2026-01-22 10:36:39,"intel[r] wi-fi 6 ax201 160mhz",166,166
2026-01-22 10:36:40,"intel[r] wi-fi 6 ax201 160mhz",82,82
2026-01-22 10:36:41,"intel[r] wi-fi 6 ax201 160mhz",114,114
2026-01-22 10:36:42,"intel[r] wi-fi 6 ax201 160mhz",284,284
2026-01-22 10:36:43,"intel[r] wi-fi 6 ax201 160mhz",245,245
2026-01-22 10:36:44,"intel[r] wi-fi 6 ax201 160mhz",368,368
2026-01-22 10:36:45,"intel[r] wi-fi 6 ax201 160mhz",138,138
2026-01-22 10:36:46,"intel[r] wi-fi 6 ax201 160mhz",147,147
2026-01-22 10:36:47,"intel[r] wi-fi 6 ax201 160mhz",307,307
2026-01-22 10:36:48,"intel[r] wi-fi 6 ax201 160mhz",111,111
2026-01-22 10:36:49,"intel[r] wi-fi 6 ax201 160mhz",2245,2245
2026-01-22 10:36:50,"intel[r] wi-fi 6 ax201 160mhz",1858,1858
2026-01-22 10:36:51,"intel[r] wi-fi 6 ax201 160mhz",27,27
2026-01-22 10:36:52,"intel[r] wi-fi 6 ax201 160mhz",139,139
2026-01-22 10:36:53,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:36:54,"intel[r] wi-fi 6 ax201 160mhz",863,863
2026-01-22 10:36:55,"intel[r] wi-fi 6 ax201 160mhz",22634,22634
2026-01-22 10:36:56,"intel[r] wi-fi 6 ax201 160mhz",25061,25061
2026-01-22 10:36:57,"intel[r] wi-fi 6 ax201 160mhz",309,309
2026-01-22 10:36:58,"intel[r] wi-fi 6 ax201 160mhz",1922,1922
2026-01-22 10:36:59,"intel[r] wi-fi 6 ax201 160mhz",5937,5937
2026-01-22 10:37:00,"intel[r] wi-fi 6 ax201 160mhz",1682,1682
2026-01-22 10:37:01,"intel[r] wi-fi 6 ax201 160mhz",27,27
2026-01-22 10:37:02,"intel[r] wi-fi 6 ax201 160mhz",769,769
2026-01-22 10:37:03,"intel[r] wi-fi 6 ax201 160mhz",690,690
2026-01-22 10:37:04,"intel[r] wi-fi 6 ax201 160mhz",891,891
2026-01-22 10:37:05,"intel[r] wi-fi 6 ax201 160mhz",264,264
2026-01-22 10:37:06,"intel[r] wi-fi 6 ax201 160mhz",11042,11042
2026-01-22 10:37:07,"intel[r] wi-fi 6 ax201 160mhz",1524,1524
2026-01-22 10:37:08,"intel[r] wi-fi 6 ax201 160mhz",1883,1883
2026-01-22 10:37:09,"intel[r] wi-fi 6 ax201 160mhz",460,460
2026-01-22 10:37:10,"intel[r] wi-fi 6 ax201 160mhz",861,861
2026-01-22 10:37:11,"intel[r] wi-fi 6 ax201 160mhz",258,258
2026-01-22 10:37:12,"intel[r] wi-fi 6 ax201 160mhz",1313,1313
2026-01-22 10:37:13,"intel[r] wi-fi 6 ax201 160mhz",148,148
2026-01-22 10:37:14,"intel[r] wi-fi 6 ax201 160mhz",320,320
2026-01-22 10:37:15,"intel[r] wi-fi 6 ax201 160mhz",2464,2464
2026-01-22 10:37:16,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:37:17,"intel[r] wi-fi 6 ax201 160mhz",1300,1300
2026-01-22 10:37:18,"intel[r] wi-fi 6 ax201 160mhz",130,130
2026-01-22 10:37:19,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:37:20,"intel[r] wi-fi 6 ax201 160mhz",1168,1168
2026-01-22 10:37:21,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:37:22,"intel[r] wi-fi 6 ax201 160mhz",1381,1381
2026-01-22 10:37:23,"intel[r] wi-fi 6 ax201 160mhz",27,27
2026-01-22 10:37:24,"intel[r] wi-fi 6 ax201 160mhz",1054,1054
2026-01-22 10:37:25,"intel[r] wi-fi 6 ax201 160mhz",1288,1288
2026-01-22 10:37:26,"intel[r] wi-fi 6 ax201 160mhz",68,68
2026-01-22 10:37:27,"intel[r] wi-fi 6 ax201 160mhz",1516,1516
2026-01-22 10:37:28,"intel[r] wi-fi 6 ax201 160mhz",614,614
2026-01-22 10:37:29,"intel[r] wi-fi 6 ax201 160mhz",195,195
2026-01-22 10:37:30,"intel[r] wi-fi 6 ax201 160mhz",298,298
2026-01-22 10:37:31,"intel[r] wi-fi 6 ax201 160mhz",268,268
2026-01-22 10:37:32,"intel[r] wi-fi 6 ax201 160mhz",274,274
2026-01-22 10:37:33,"intel[r] wi-fi 6 ax201 160mhz",110,110
2026-01-22 10:37:35,"intel[r] wi-fi 6 ax201 160mhz",42,42
2026-01-22 10:37:35,"intel[r] wi-fi 6 ax201 160mhz",294,294
2026-01-22 10:37:36,"intel[r] wi-fi 6 ax201 160mhz",297,297
2026-01-22 10:37:37,"intel[r] wi-fi 6 ax201 160mhz",1885,1885
2026-01-22 10:37:38,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:37:39,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:37:40,"intel[r] wi-fi 6 ax201 160mhz",82,82
2026-01-22 10:37:41,"intel[r] wi-fi 6 ax201 160mhz",276,276
2026-01-22 10:37:42,"intel[r] wi-fi 6 ax201 160mhz",138,138
2026-01-22 10:37:43,"intel[r] wi-fi 6 ax201 160mhz",73,73
2026-01-22 10:37:44,"intel[r] wi-fi 6 ax201 160mhz",3220,3220
2026-01-22 10:37:45,"intel[r] wi-fi 6 ax201 160mhz",133,133
2026-01-22 10:37:46,"intel[r] wi-fi 6 ax201 160mhz",54,54
2026-01-22 10:37:47,"intel[r] wi-fi 6 ax201 160mhz",265,265
2026-01-22 10:37:48,"intel[r] wi-fi 6 ax201 160mhz",191,191
2026-01-22 10:37:49,"intel[r] wi-fi 6 ax201 160mhz",158,158
2026-01-22 10:37:50,"intel[r] wi-fi 6 ax201 160mhz",687,687
2026-01-22 10:37:51,"intel[r] wi-fi 6 ax201 160mhz",332,332
2026-01-22 10:37:52,"intel[r] wi-fi 6 ax201 160mhz",140,140
2026-01-22 10:37:53,"intel[r] wi-fi 6 ax201 160mhz",531,531
2026-01-22 10:37:54,"intel[r] wi-fi 6 ax201 160mhz",54,54
2026-01-22 10:37:55,"intel[r] wi-fi 6 ax201 160mhz",146,146
2026-01-22 10:37:56,"intel[r] wi-fi 6 ax201 160mhz",107,107
